TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO;ESPECIAL
ABATIBLE;05;2500;NEGRO MATE TEXT;L.NMT;600;504,647;615,797;535,327;535,327;615,797;677,377
ABATIBLE;05;2500;NEGRO MATE TEXT;L.NMT;800;518,812;648,487;554,605;554,605;648,487;713,336
ABATIBLE;05;2500;NEGRO MATE TEXT;L.NMT;700;532,977;681,177;573,883;573,883;681,177;749,295
ABATIBLE;05;2500;NEGRO MATE TEXT;L.NMT;900;547,141;713,866;593,161;593,161;713,866;785,253
ABATIBLE;05;2500;NEGRO MATE TEXT;L.NMT;1000;561,306;746,556;612,439;612,439;746,556;821,212
ABATIBLE;05;2500;NEGRO MATE TEXT;L.NMT;1100;595,505;819,895;658,544;658,544;819,895;901,885
ABATIBLE;05;2700;CORTEN;L.C;600;533,289;665,475;570,424;570,424;665,475;732,023
ABATIBLE;05;2700;CORTEN;L.C;800;549,327;703,544;592,652;592,652;703,544;773,898
ABATIBLE;05;2700;CORTEN;L.C;700;565,365;741,613;614,879;614,879;741,613;815,774
ABATIBLE;05;2700;CORTEN;L.C;900;581,402;779,682;637,106;637,106;779,682;857,65
ABATIBLE;05;2700;CORTEN;L.C;1000;597,44;817,751;659,333;659,333;817,751;899,526
ABATIBLE;05;2700;CORTEN;L.C;1100;613,478;819,151;681,561;681,561;819,151;901,066
ABATIBLE;05;2500;CORTEN;L.C;600;504,647;615,797;535,327;535,327;615,797;677,377
ABATIBLE;05;2500;CORTEN;L.C;800;518,812;648,487;554,605;554,605;648,487;713,336
ABATIBLE;05;2500;CORTEN;L.C;700;532,977;681,177;573,883;573,883;681,177;749,295
ABATIBLE;05;2500;CORTEN;L.C;900;547,141;713,866;593,161;593,161;713,866;785,253
ABATIBLE;05;2500;CORTEN;L.C;1000;561,306;746,556;612,439;612,439;746,556;821,212
ABATIBLE;05;2500;CORTEN;L.C;1100;595,505;819,895;658,544;658,544;819,895;901,885
ABATIBLE;05;2700;ROBLE;C.RB;600;631,236;763,423;668,372;668,372;763,423;839,765
ABATIBLE;05;2700;ROBLE;C.RB;800;648,478;802,696;691,803;691,803;802,696;882,966
ABATIBLE;05;2700;ROBLE;C.RB;700;665,72;841,969;715,234;715,234;841,969;926,166
ABATIBLE;05;2700;ROBLE;C.RB;900;682,962;881,242;738,665;738,665;881,242;969,366
ABATIBLE;05;2700;ROBLE;C.RB;1000;700,203;920,514;762,096;762,096;920,514;1012,565
